Title,Price,Page
Motorola | Moto G 5G 2024 | 128GB Storage | 4GB RAM | Snapdragon 4 Gen 1 | 5000mAh Battery | 6.6″ IPS LCD Display | Non PTA Approved (SIM Lock) | Mobile Phone,"Rs. 19,999",3
"Schok Volt SV55 | 2GB Ram 16GB Storage | Andriod Version 11 | Type-C Cable | Non PTA Approve | 3000 MAH Long Lasting Battery | Youtube, Tiktok, FaceBook Working | Amrican Phone | Orginial Stock","Rs. 5,959",3
American Schok Volt SV55 Mobile Phone | No Sims(WiFi Only) | Android 11 | Free Compatible Charger | Snapdragon 425 | Best Economical Smart Mobile Phone | Mobile Phones Low Price | Globally Customized,"Rs. 6,990",3
Etachi Icon just look like Iphone design Icon Mini Touch Mobile 2gb 16gb 3.75-inch touch screen Dual sim Pta approve,"Rs. 14,999",3
Itel City 200 - IPS LCD - 6.78 Inches Display - 4GB RAM 128GB ROM - 8MP Front Camera - 50MP Rear Camera - Unisoc T7250 Chipset - Dual SIM - 5200mAh Battery,"Rs. 30,999",3
Etachi Icon just look like Iphone design Icon Mini Touch Mobile 2gb 16gb 3.75-inch touch screen Dual sim Pta approve,"Rs. 14,249",3
Moto Stylus 2024 5G - 6.7 Inches Full FHD+ Display - 8GB RAM 128GB ROM - PTA Approved Dual Sim (Physical + E-sim) - Snapdragon 6 Gen 1 - In-Screen Fingerprint Sensor - Mix Color (Phone Only - Box Charger Accessoires Not Included),"Rs. 39,999",3
Google Pixel 7 Pro – 6.7″ QHD+ 120Hz | dual sim approved | Tensor G2 | 50MP Triple Camera | 12GB RAM | 128 and 256GB Storage 5000mAh with Fast Wired & Wireless Charging | just like new condition without box,"Rs. 89,999",3
Moto G5G 2024 | 4+2 GB Ram | 5000MAH Battery ! 128GB Stoarge | Gaming Phone | Non PTA (Sim Not Working) | Budget friendly Mobile | Type-c Fast Charging | 50MP Camera | Snapdragon 4 Gen 1 (6nm) Prossor | Gaming Phone On installment | Pubg & FreeFire Suppor,"Rs. 16,486",3
Redmi Note 14 8GB RAM + 256 GB ROM Non Scanned - Non Active - PTA APPROVED,"Rs. 59,999",3
16pro box pack one year warranty,"Rs. 4,500",3
"Google Pixel 9 Pro XL | 128GB, 256GB and 512GB | official PTA approved | 16GB Ram | without box","Rs. 214,999",3
Infinix Note 60 Pro 8GB RAM 256GB ROM Front Camera 13MP Back Camera 50MP 6500mAh Battery One Year Brand Warrenty,"Rs. 110,000",3
"Oppo A57 - 5.2"" HD Display - 3GB RAM - 32GB ROM - Dual Sim - Official PTA Approved - Android 14 Updated (Box Only, No Charger and Accessories Not Included - Mix Color)","Rs. 10,999",3
Itel A100C 2GB RAM 64GB ROM Front Camera 5MP Back Camera 8MP 5000mAh Battery One Year Brand Warenty,"Rs. 19,999",3
Infinix NOTE 50 || 8GB + 8GB RAM + 256GB ROM || 5200mAh Battery,"Rs. 78,999",3
"Infinix Note 60 5G 8GB + 8GB Ram 256GB Rom || 6.78 Inches AMOLED 144Hz 1.5K Display || IP64 , Mediatek Dimensity 7400 Ultimate || 6500 mAh Fast Charging 45W || Wireless 30W","Rs. 89,999",3
Vivo Y31d - IPS LCD - 6.75 Inches Display - 8GB RAM 128GB/256GB ROM - 8MP Front Camera - 50MP+2MP Rear Camera - Snapdragon® 6s Gen 2 4G Mobile Platform Chipset - Dual SIM - 7200mAh Battery,"Rs. 65,999",3
Realme Note 60X 4GB/64GB,"Rs. 29,999",3
Google Pixel 7A | 128GB Storage | 8GB RAM | Google Tensor G2 | 64 MP Dual Camera | 4385 mAh Battery | Dual SIM | Official PTA Approved,"Rs. 56,810",3
Tecno Spark GO 3 4/64,"Rs. 27,200",3
Samsung Galaxy A07 6GB+128GB PTA APPROVED,"Rs. 49,500",3
"Samsung Galaxy S23 Ultra | 12GB & 8GB RAM 512GB & 256GB storage, S Pen Precision, and Immersive Dynamic AMOLED 2X Display.","Rs. 244,999",3
Infinix Smart 10 Plus 4GB+128GB - PTA APPROVED,"Rs. 29,999",3
Samsung Galaxy A17 8GB + 256 GB,"Rs. 60,999",3
Xiaomi 17 Ultra 16GB/512GB,"Rs. 462,999",3
Infinix Hot 60 Pro Plus - 6.78'' 3D-Curved AMOLED Display 8GB RAM 256GB ROM 5160mAh Battery 45w FastCharge PTA Approved 1 Year Official Brand Warranty,"Rs. 68,980",3
"Moto G Pure - 6.5 Inches HD+ Display - 3GB RAM + 32GB ROM - SD Card Slot - Original American Stock (Phone + Universal Box, No Charger and Accessories) - NON PTA","Rs. 10,999",3
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P65 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 20,999",4
Oppo A31 (CPH2015) - 6.5 Inches Display - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - Dual SIM (Official PTA Approved) - 12MP+2MP+8MP Camera - Mix Color (Phone with Box - No Accessories Included),"Rs. 19,999",4
Apple iPhone 13 Pro Max 256 GB - Non Approved - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 164,999",4
Samsung A07 - 6.7 Inches Display - 4GB RAM 64GB/128GB ROM - 8MP Front Camera - 50MP+2MP Rear Camera - Dual SIM - 5000mAh Battery,"Rs. 30,999",4
Apple iPhone 14 - 256GB - (Non Approved) (FREE CHARGER AND COVER) - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 99,999",4
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P80 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 20,999",4
Oppo A5 Pro - (8+256),"Rs. 59,999",4
Google Pixel 8 Pro | 12GB Ram | 128GB/256GB storage | Official PTA approved | Without box,"Rs. 144,999",4
Samsung Galaxy S26 - 256 GB - Get Free Galaxy Buds3 FE Through Galaxy Members App,"Rs. 299,999",4
Original Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality | Vivo Mobile Phone | Globally Customized,"Rs. 11,499",4
Infinix Note 60 Pro 8GB RAM 256GB ROM Front Camera 13MP Back Camera 50MP 6500mAh Battery One Year Brand Warrenty,"Rs. 110,000",4
Apple iPhone X 256 GB Factory Unlocked - PTA Approved - Free charger - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 56,999",4
Vivo Y31d 8GB RAM 256GB ROM Front Camera 8 MP Back Camera 50 MP 7200 mAh Battery Health One Year Brand Warrenty,"Rs. 70,999",4
